"Date, NumSims, NumFimsMsgs, Sim #, Winning Map, Winning Time, GoMap Time, Win-GoMap Diff, HashMap Time, Win-HashMap Diff, SyncMap Time, Win-SyncMap Diff"
2023-01-20 20:24:41.504202441 +0000 UTC m=+354.865584068,200,3000,70,hashMap,1.510755767s,1.609294702s,1.07,1.510755767s,1.00,1.588088254s,1.05
2023-01-20 20:24:46.203357151 +0000 UTC m=+359.564738781,200,3000,71,syncMap,1.520853148s,1.57478465s,1.04,1.595450022s,1.05,1.520853148s,1.00
2023-01-20 20:24:50.509524253 +0000 UTC m=+363.870905878,200,3000,72,goMap,1.381849026s,1.381849026s,1.00,1.47780148s,1.07,1.438242392s,1.04
2023-01-20 20:24:54.700283911 +0000 UTC m=+368.061665534,200,3000,73,hashMap,1.375061351s,1.413036779s,1.03,1.375061351s,1.00,1.395838662s,1.02
2023-01-20 20:24:59.527950638 +0000 UTC m=+372.889332272,200,3000,74,hashMap,1.361973369s,1.444245545s,1.06,1.361973369s,1.00,2.013042426s,1.48
2023-01-20 20:25:04.594510802 +0000 UTC m=+377.956124617,200,3000,75,syncMap,1.573113646s,1.736681156s,1.10,1.748584098s,1.11,1.573113646s,1.00
2023-01-20 20:25:08.94579441 +0000 UTC m=+382.307408223,200,3000,76,goMap,1.401327466s,1.401327466s,1.00,1.427901006s,1.02,1.514764326s,1.08
2023-01-20 20:25:13.851033634 +0000 UTC m=+387.212647457,200,3000,77,goMap,1.516369402s,1.516369402s,1.00,1.541614418s,1.02,1.838743076s,1.21
2023-01-20 20:25:19.345257416 +0000 UTC m=+392.706871248,200,3000,78,syncMap,1.550606874s,2.054077829s,1.32,1.873311503s,1.21,1.550606874s,1.00
2023-01-20 20:25:24.148783945 +0000 UTC m=+397.510397764,200,3000,79,hashMap,1.550165074s,1.660866286s,1.07,1.550165074s,1.00,1.585061612s,1.02
2023-01-20 20:25:28.934293539 +0000 UTC m=+402.295907353,200,3000,80,hashMap,1.480772237s,1.672607925s,1.13,1.480772237s,1.00,1.617734304s,1.09
2023-01-20 20:25:33.686930595 +0000 UTC m=+407.048195747,200,3000,81,hashMap,1.418113304s,1.77686247s,1.25,1.418113304s,1.00,1.545153944s,1.09
2023-01-20 20:25:38.561155841 +0000 UTC m=+411.922420984,200,3000,82,hashMap,1.578031133s,1.637765805s,1.04,1.578031133s,1.00,1.650308038s,1.05
2023-01-20 20:25:43.016601277 +0000 UTC m=+416.377866419,200,3000,83,syncMap,1.453366762s,1.511019695s,1.04,1.484380657s,1.02,1.453366762s,1.00
2023-01-20 20:25:47.395939439 +0000 UTC m=+420.757204584,200,3000,84,syncMap,1.380372813s,1.547735795s,1.12,1.443931594s,1.05,1.380372813s,1.00
2023-01-20 20:25:51.500238135 +0000 UTC m=+424.861503280,200,3000,85,hashMap,1.357235774s,1.382160346s,1.02,1.357235774s,1.00,1.357755362s,1.00
2023-01-20 20:25:55.556548321 +0000 UTC m=+428.917813465,200,3000,86,hashMap,1.298977751s,1.381262113s,1.06,1.298977751s,1.00,1.36853705s,1.05
2023-01-20 20:25:59.783947086 +0000 UTC m=+433.145212229,200,3000,87,hashMap,1.283477973s,1.388297282s,1.08,1.283477973s,1.00,1.548448332s,1.21
2023-01-20 20:26:04.551901806 +0000 UTC m=+437.913444140,200,3000,88,hashMap,1.436957586s,1.845161774s,1.28,1.436957586s,1.00,1.475635553s,1.03
2023-01-20 20:26:09.007205808 +0000 UTC m=+442.368748142,200,3000,89,hashMap,1.448514076s,1.537820585s,1.06,1.448514076s,1.00,1.460821078s,1.01
2023-01-20 20:26:13.843754286 +0000 UTC m=+447.205296594,200,3000,90,goMap,1.427983518s,1.427983518s,1.00,1.493556862s,1.05,1.895294812s,1.33
2023-01-20 20:26:18.542817862 +0000 UTC m=+451.904360170,200,3000,91,syncMap,1.42868731s,1.759862159s,1.23,1.499796799s,1.05,1.42868731s,1.00
2023-01-20 20:26:22.785224079 +0000 UTC m=+456.146766393,200,3000,92,hashMap,1.281549434s,1.440569946s,1.12,1.281549434s,1.00,1.512181909s,1.18
2023-01-20 20:26:27.06166728 +0000 UTC m=+460.423209588,200,3000,93,syncMap,1.373693364s,1.450575377s,1.06,1.442424929s,1.05,1.373693364s,1.00
2023-01-20 20:26:31.120128619 +0000 UTC m=+464.481670951,200,3000,94,hashMap,1.302774592s,1.39888656s,1.07,1.302774592s,1.00,1.34939857s,1.04
2023-01-20 20:26:35.248274652 +0000 UTC m=+468.609495181,200,3000,95,hashMap,1.30760712s,1.384176282s,1.06,1.30760712s,1.00,1.428770595s,1.09
2023-01-20 20:26:39.191870603 +0000 UTC m=+472.553091131,200,3000,96,hashMap,1.219808149s,1.331560409s,1.09,1.219808149s,1.00,1.38512592s,1.14
2023-01-20 20:26:43.580972913 +0000 UTC m=+476.942193439,200,3000,97,hashMap,1.405327263s,1.428073923s,1.02,1.405327263s,1.00,1.548721373s,1.10
2023-01-20 20:26:47.694398498 +0000 UTC m=+481.055619040,200,3000,98,hashMap,1.354605481s,1.354699103s,1.00,1.354605481s,1.00,1.396439633s,1.03
2023-01-20 20:26:51.753732458 +0000 UTC m=+485.114952985,200,3000,99,hashMap,1.303273127s,1.352558477s,1.04,1.303273127s,1.00,1.395678616s,1.07
2023-01-20 20:26:55.995894768 +0000 UTC m=+489.357115296,200,3000,100,hashMap,1.282717006s,1.322397638s,1.03,1.282717006s,1.00,1.62395768s,1.27
2023-01-20 20:27:00.49603852 +0000 UTC m=+493.857259060,200,3000,101,hashMap,1.309572347s,1.635465877s,1.25,1.309572347s,1.00,1.546770939s,1.18
2023-01-20 20:27:04.499416817 +0000 UTC m=+497.860968470,200,3000,102,hashMap,1.253844555s,1.435753807s,1.15,1.253844555s,1.00,1.305583449s,1.04
2023-01-20 20:27:08.628607501 +0000 UTC m=+501.990159145,200,3000,103,goMap,1.32126295s,1.32126295s,1.00,1.41630308s,1.07,1.383199191s,1.05
2023-01-20 20:27:12.733172375 +0000 UTC m=+506.094724020,200,3000,104,goMap,1.204475614s,1.204475614s,1.00,1.273572378s,1.06,1.61924733s,1.34
2023-01-20 20:27:17.331909237 +0000 UTC m=+510.693460895,200,3000,105,hashMap,1.381778204s,1.649640842s,1.19,1.381778204s,1.00,1.558933333s,1.13
2023-01-20 20:27:21.77401689 +0000 UTC m=+515.135568535,200,3000,106,hashMap,1.401128012s,1.613378144s,1.15,1.401128012s,1.00,1.418509094s,1.01
2023-01-20 20:27:26.172151209 +0000 UTC m=+519.533702854,200,3000,107,hashMap,1.318808345s,1.638152395s,1.24,1.318808345s,1.00,1.431514167s,1.09
