Time,Max Pbms Est D
11:10:22 AM,3151
11:10:23 AM,3152
11:10:24 AM,3135
11:10:25 AM,3132
11:10:26 AM,3155
11:10:27 AM,3149
11:10:28 AM,3149
11:10:29 AM,3152
11:10:30 AM,3157
11:10:31 AM,3157
11:10:32 AM,3148
11:10:33 AM,3148
11:10:34 AM,3145
11:10:35 AM,3146
11:10:36 AM,3177
11:10:37 AM,3176
11:10:38 AM,3163
11:10:39 AM,3169
11:10:40 AM,3143
11:10:41 AM,3145
11:10:42 AM,3153
11:10:43 AM,3150
11:10:44 AM,3141
11:10:45 AM,3145
11:10:46 AM,3156
11:10:47 AM,3154
11:10:48 AM,3131
11:10:49 AM,3134
11:10:50 AM,3132
11:10:51 AM,3136
11:10:52 AM,3143
11:10:53 AM,3141
11:10:54 AM,3143
11:10:55 AM,3145
11:10:56 AM,3154
11:10:57 AM,3155
11:10:58 AM,3139
11:10:59 AM,3138
11:11:00 AM,3146
11:11:01 AM,3147
11:11:02 AM,3161
11:11:03 AM,3155
11:11:04 AM,3144
11:11:05 AM,3149
11:11:06 AM,3134
11:11:07 AM,3133
11:11:08 AM,3148
11:11:09 AM,3146
11:11:10 AM,3144
11:11:11 AM,3145
11:11:12 AM,3145
11:11:13 AM,3146
11:11:14 AM,3131
11:11:15 AM,3129
11:11:16 AM,3122
11:11:17 AM,3122
11:11:18 AM,3142
11:11:19 AM,3135
11:11:20 AM,3114
11:11:21 AM,3117
11:11:22 AM,3139
11:11:23 AM,3135
11:11:24 AM,3130
11:11:25 AM,3131
11:11:26 AM,3137
11:11:27 AM,3131
11:11:28 AM,3154
11:11:29 AM,3141
11:11:30 AM,3138
11:11:31 AM,3143
11:11:32 AM,3133
11:11:33 AM,3132
11:11:34 AM,3132
11:11:35 AM,3130
11:11:36 AM,3130
11:11:37 AM,3128
11:11:38 AM,3135
11:11:39 AM,3141
11:11:40 AM,3116
11:11:41 AM,3110
11:11:42 AM,3124
11:11:43 AM,3103
11:11:44 AM,3129
11:11:45 AM,3111
11:11:46 AM,3123
11:11:47 AM,3127
11:11:48 AM,3141
11:11:49 AM,3143
11:11:50 AM,3129
11:11:51 AM,3130
11:11:52 AM,3133
11:11:53 AM,3139
11:11:54 AM,3139
11:11:55 AM,3143
11:11:56 AM,3131
11:11:57 AM,3140
11:11:58 AM,3155
11:11:59 AM,3151
11:12:00 AM,3129
11:12:01 AM,3132
11:12:02 AM,3128
11:12:03 AM,3130
11:12:04 AM,3131
11:12:05 AM,3127
11:12:06 AM,3119
11:12:07 AM,3126
11:12:08 AM,3123
11:12:09 AM,3121
11:12:10 AM,3102
11:12:11 AM,3101
11:12:12 AM,3115
11:12:13 AM,3116
11:12:14 AM,3134
11:12:15 AM,3133
11:12:16 AM,3113
11:12:17 AM,3117
11:12:18 AM,3140
11:12:19 AM,3127
11:12:20 AM,3130
11:12:21 AM,3139
11:12:22 AM,3120
11:12:23 AM,3119
11:12:24 AM,3131
11:12:25 AM,3132
11:12:26 AM,3116
11:12:27 AM,3115
11:12:28 AM,3118
11:12:29 AM,3118
11:12:30 AM,3108
11:12:31 AM,3118
11:12:32 AM,3107
11:12:33 AM,3104
11:12:34 AM,3118
11:12:35 AM,3116
11:12:36 AM,3107
11:12:37 AM,3104
11:12:38 AM,3112
11:12:39 AM,3108
11:12:40 AM,3121
11:12:41 AM,3124
11:12:42 AM,3116
11:12:43 AM,3112
11:12:44 AM,3125
11:12:45 AM,3125
11:12:46 AM,3126
11:12:47 AM,3135
11:12:48 AM,3143
11:12:49 AM,3145
11:12:50 AM,3126
11:12:51 AM,3126
11:12:52 AM,3119
11:12:53 AM,3114
11:12:54 AM,3123
11:12:55 AM,3119
11:12:56 AM,3113
11:12:57 AM,3116
11:12:58 AM,3107
11:12:59 AM,3104
11:13:00 AM,3114
11:13:01 AM,3114
11:13:02 AM,3105
11:13:03 AM,3108
11:13:04 AM,3110
11:13:05 AM,3111
11:13:06 AM,3115
11:13:07 AM,3117
11:13:08 AM,3115
11:13:09 AM,3115
11:13:10 AM,3131
11:13:11 AM,3131
11:13:12 AM,3134
11:13:13 AM,3133
11:13:14 AM,3123
11:13:15 AM,3121
11:13:16 AM,3127
11:13:17 AM,3128
11:13:18 AM,3115
11:13:19 AM,3113
11:13:20 AM,3109
11:13:21 AM,3108
11:13:22 AM,3116
11:13:23 AM,3119
11:13:24 AM,3100
11:13:25 AM,3099
11:13:26 AM,3117
11:13:27 AM,3120
11:13:28 AM,3097
11:13:29 AM,3097
11:13:30 AM,3098
11:13:31 AM,3104
11:13:32 AM,3116
11:13:33 AM,3116
11:13:34 AM,3105
11:13:35 AM,3108
11:13:36 AM,3112
11:13:37 AM,3114
11:13:38 AM,3111
11:13:39 AM,3110
11:13:40 AM,3120
11:13:41 AM,3122
11:13:42 AM,3130
11:13:43 AM,3130
11:13:44 AM,3121
11:13:45 AM,3122
